,outcome,time,L_f1,W_f1,L_f2,W_f2,fights_f2,height_y,kd,ctrl,sigster_throw,sigster_land,td_land,head_throw,body_throw,leg_throw,clinch_throw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_ww,method_dec_spl,method_dec_una,method_ko_tko,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch
28,0.0,300,4.0,2.0,2.0,9.0,11.0,73.0,0.06081871345029239,-13.354385964912282,2.988304093567251,7.976608187134502,-0.38245614035087716,1.2152046783625732,0.8058479532163743,0.9672514619883039,-1.3707602339181286,0,0,0,1,0,0,0,1,0,1,0,0
29,0.0,300,2.0,2.0,2.0,9.0,11.0,73.0,0.24126984126984125,-31.29047619047619,0.4206349206349209,-1.7301587301587276,-0.28095238095238095,-2.311111111111112,1.1968253968253966,1.534920634920635,-0.48730158730158735,0,0,0,1,0,0,1,0,0,0,1,0
31,1.0,299,1.0,3.0,2.0,9.0,11.0,73.0,0.03888888888888888,50.64999999999999,-4.8888888888888875,-15.194444444444443,0.10000000000000009,-3.4777777777777787,-1.0055555555555555,-0.40555555555555545,-1.9277777777777778,0,0,0,1,0,0,0,0,0,1,0,0
33,1.0,300,1.0,5.0,3.0,3.0,6.0,75.0,-0.2167832167832168,-13.473193473193476,14.129370629370628,39.782051282051285,-0.11421911421911418,13.913752913752914,-0.2389277389277389,0.4545454545454546,-0.8321678321678323,0,0,0,0,0,1,1,0,0,1,0,0
34,1.0,287,1.0,6.0,3.0,3.0,6.0,75.0,-0.1965811965811966,42.06552706552706,2.4273504273504276,2.7264957264957275,0.16524216524216528,0.7891737891737893,0.26780626780626804,1.3703703703703702,-0.8860398860398861,0,0,0,1,0,0,0,0,1,1,0,0
35,1.0,101,3.0,3.0,3.0,3.0,6.0,75.0,-0.2550607287449393,20.216599190283397,-0.3825910931174086,12.562753036437247,1.2510121457489878,0.3866396761133615,-1.4271255060728745,0.6578947368421053,-0.21255060728744946,0,0,0,1,0,0,0,0,0,1,0,0
36,0.0,213,2.0,4.0,3.0,3.0,6.0,75.0,-0.3076923076923077,7.4055944055944,1.4475524475524466,12.615384615384617,1.0524475524475525,4.080419580419582,-2.8146853146853146,0.18181818181818188,0.48601398601398604,0,0,0,1,0,0,0,0,1,0,1,0
37,0.0,277,2.0,3.0,3.0,3.0,6.0,75.0,-0.3076923076923077,25.169230769230772,-2.328205128205129,-1.2512820512820504,2.8615384615384616,-6.0256410256410255,-1.235897435897436,4.933333333333334,0.7435897435897434,0,0,0,0,0,1,0,0,1,1,0,0
39,1.0,300,1.0,5.0,4.0,1.0,5.0,72.0,-0.07575757575757575,26.813131313131315,16.146464646464644,19.555555555555557,0.42424242424242425,15.606060606060606,0.7525252525252526,-0.21212121212121215,0.813131313131313,0,0,0,1,0,0,0,1,0,1,0,0
40,1.0,72,2.0,3.0,4.0,1.0,5.0,72.0,-0.008771929824561403,52.37134502923977,0.345029239766081,-23.505847953216378,1.4736842105263157,0.47368421052631504,0.6432748538011697,-0.7719298245614036,2.4590643274853803,0,0,0,1,0,0,0,0,0,1,0,0
41,1.0,300,2.0,2.0,4.0,1.0,5.0,72.0,-0.11403508771929824,44.687134502923975,-1.4970760233918128,-27.347953216374272,0.5263157894736842,-1.3157894736842106,-0.830409356725146,0.6491228070175439,1.4590643274853803,0,0,0,1,0,0,0,1,0,0,1,0
42,1.0,270,2.0,5.0,4.0,1.0,5.0,72.0,-0.16666666666666666,130.77430555555554,-3.3819444444444446,-27.329861111111114,2.71875,-1.875,-1.1527777777777777,-0.35416666666666674,0.6284722222222222,0,0,0,1,0,0,0,0,0,1,0,0
43,0.0,220,1.0,3.0,4.0,1.0,5.0,72.0,-0.08333333333333333,114.63888888888889,-3.1111111111111107,-30.361111111111114,1.1666666666666667,-2.166666666666667,-0.6944444444444442,-0.25,1.6388888888888888,0,0,0,1,0,0,0,0,1,1,0,0
48,1.0,281,2.0,3.0,3.0,0.0,3.0,68.0,0.09907120743034055,-14.154798761609904,0.14241486068111442,-2.953560371517028,0.1795665634674921,0.17956656346749078,-0.1083591331269349,0.07120743034055732,0.08978328173374628,0,0,0,1,0,0,0,0,1,1,0,0
49,1.0,29,0.0,7.0,3.0,0.0,3.0,68.0,0.15992647058823528,13.810661764705884,3.7279411764705888,2.7536764705882355,-0.3253676470588236,1.7058823529411757,0.5643382352941178,1.4577205882352942,-1.1470588235294117,0,1,0,0,0,0,0,0,1,1,0,0
50,1.0,28,4.0,3.0,3.0,0.0,3.0,68.0,0.29831932773109243,-50.32773109243698,5.495798319327731,10.29831932773109,-0.865546218487395,4.563025210084033,1.1848739495798322,-0.25210084033613445,-1.0756302521008403,0,0,0,1,0,0,0,0,1,0,1,0
51,1.0,38,2.0,3.0,1.0,1.0,2.0,70.0,0.15789473684210525,-31.85087719298246,2.6228070175438596,7.105263157894736,0.30701754385964897,-0.3596491228070189,2.754385964912281,0.22807017543859653,0.5701754385964914,0,0,0,1,0,0,0,0,1,1,0,0
52,0.0,238,2.0,0.0,1.0,1.0,2.0,70.0,0.15384615384615385,-78.47435897435898,-2.9358974358974352,3.0769230769230766,-1.1666666666666667,-5.602564102564103,1.4102564102564106,1.2564102564102564,-1.3974358974358974,0,0,0,1,0,0,0,0,0,0,1,0
54,0.0,249,4.0,3.0,2.0,2.0,4.0,74.0,-0.02797202797202797,-5.118881118881106,11.55944055944056,7.9300699300699335,0.46153846153846145,7.765734265734266,4.13986013986014,-0.34615384615384626,2.094405594405594,0,0,0,1,0,0,0,0,1,1,0,0
55,1.0,300,2.0,6.0,2.0,2.0,4.0,74.0,-0.08181818181818182,-36.8060606060606,0.4696969696969706,-7.621212121212121,-0.33333333333333337,2.7272727272727275,-0.7242424242424241,-1.5333333333333332,-0.10303030303030303,0,0,0,1,0,0,0,1,0,1,0,0
56,0.0,246,4.0,4.0,2.0,2.0,4.0,74.0,-0.18181818181818182,-40.144522144522135,10.149184149184151,19.519813519813518,0.641025641025641,4.637529137529138,2.6783216783216783,2.833333333333333,0.6585081585081585,0,0,0,1,0,0,0,0,1,1,0,0
57,1.0,300,1.0,4.0,2.0,2.0,4.0,74.0,-0.16221033868092694,-25.017825311942957,10.303030303030305,18.19251336898396,0.21568627450980382,9.79590017825312,0.49732620320855636,0.009803921568627416,0.3930481283422458,0,0,0,1,0,0,0,1,0,0,1,0
